name,hd,entered_name,ra,dec,type,vmag,bmv,extinction,teff,logg,feh,visibility,max_alt,max_alt_month,exp_time
* bet Hyi,HD2151,HD2151,00 25 45.0703,-77 15 15.286,G0V,2.79,0.6200001,,5797,3.9616,-0.069,throughout,56.862830661672426,9,300
* alf Cen B,HD128621,HD128621,14 39 35.0631,-60 50 15.099,K1V,1.33,0.88,,5231,4.53,,"[1, 2, 3, 4, 5, 6, 7, 8]",73.04583920451597,4,150
* alf Cen A,HD128620,HD128620,14 39 36.4940,-60 50 02.373,G2V,0.01,0.71000004,,5271,4.0261,0.252,"[1, 2, 3, 4, 5, 6, 7, 8]",73.04942865575023,4,100
* bet Ara,HD157244,HD157244,17 25 17.9878,-55 31 47.574,K0/1Ib,2.85,1.46,,4784,0.5,,"[2, 3, 4, 5, 6, 7, 8, 9]",78.43291678540396,6,300
HD 298986,HD298986,HD298986,10 17 14.8774,-52 29 18.694,F5,10.03,0.4300003,,6177,4.28,,"[1, 2, 3, 4, 5, 6, 11, 12]",81.38116996574212,2,1800
* mu. Ara,HD160691,HD160691,17 44 08.7031,-51 50 02.591,G3IV-V,5.15,0.6999998,,0,,0.35,"[3, 4, 5, 6, 7, 8, 9]",82.13534950610887,6,900
* psi Phe,HD11695,HD11695,01 53 38.7393,-46 18 09.609,M4III,4.41,1.5900002,,4186,1.0991,-1.169,"[1, 7, 8, 9, 10, 11, 12]",87.78524471347438,10,600
HD 102200,HD102200,HD102200,11 45 34.2345,-46 03 46.386,F2V,8.76,0.3699999,,6185,4.44,-1.1,"[1, 2, 3, 4, 5, 6, 12]",87.78225036666952,3,1800
* ksi Hya,HD100407,HD100407,11 33 00.1149,-31 51 27.447,G7IIIb,3.54,0.9299998,,5095,2.9,0.115,"[1, 2, 3, 4, 5, 12]",78.0004107306886,3,600
* eps For,HD18907,HD18907,03 01 37.6288,-28 05 29.373,G9:V,5.85,0.8299999,,5030,3.5252,-0.641,"[1, 8, 9, 10, 11, 12]",74.00788277462418,11,1200
* tau Cet,HD10700,HD10700,01 44 04.0831,-15 56 14.927,G8V,3.5,0.7199998,,5328,4.38,-0.47,"[8, 9, 10, 11, 12]",61.83081950623245,10,600
HD 140283,HD140283,HD140283,15 43 03.0971,-10 56 00.595,F9VkA5mA1,7.212,0.49900007,,5847,3.32,-2.62,"[3, 4, 5, 6, 7]",57.02161043768536,5,1800
* del Eri,HD23249,HD23249,03 43 14.9005,-09 45 48.210,K0+IV,3.54,0.9200001,,5108,4.18,0.25,"[1, 9, 10, 11, 12]",55.70017541648651,11,600
* eps Eri,HD22049,HD22049,03 32 55.8444,-09 27 29.739,K2V,3.73,0.8800001,,5120,4.7,0.01,"[1, 9, 10, 11, 12]",55.38913232928926,11,600
*  18 Sco,HD146233,HD146233,16 15 37.2702,-08 22 09.982,G2Va,5.5,0.6500001,,5770,4.3,0.07,"[3, 4, 5, 6, 7]",54.44320656296293,5,1200
HD  22879,HD22879,HD22879,03 40 22.0652,-03 13 01.124,G0VmF2,6.667,0.5550003,,5750,4.5,-0.77,"[1, 9, 10, 11, 12]",49.15073721671855,11,1800
HD  49933,HD49933,HD49933,06 50 49.8309,-00 32 27.167,F3V,5.771,0.37599993,,6477,4.1541,-0.446,"[1, 2, 11, 12]",46.58300175756374,12,1200
* bet Vir,HD102870,HD102870,11 50 41.7185,+01 45 53.001,F9V,3.6,0.5500002,,6055,4.0,0.18,"[1, 2, 3, 4, 5]",44.37899167582224,3,600
* c Vir,HD107328,HD107328,12 20 20.9813,+03 18 45.255,K0.5IIIbFe-0.5,4.96,1.1599998,,4508,2.3,-0.48,"[2, 3, 4, 5]",42.83207301401064,3,900
* alf Cet,HD18884,HD18884,03 02 16.7730,+04 05 23.059,M1.5IIIa,2.53,1.6400001,,3828,1.0,,"[9, 10, 11, 12]",41.829347638835785,11,300
* alf CMi,HD61421,HD61421,07 39 18.1195,+05 13 29.955,F5IV-V+DQZ,0.37,0.42000002,,6468,3.972,0.011,"[1, 2, 11, 12]",40.842400939156526,1,100
*   7 Psc,HD220009,HD220009,23 20 20.5830,+05 22 52.708,K1IV,5.069,1.1930003,,4351,1.7346,-0.705,"[8, 9, 10, 7]",40.500894497439376,9,900
HD 122563,HD122563,HD122563,14 02 31.8455,+09 41 09.944,G8:III:Fe-5,6.19,0.90999985,,4952,1.28,-2.69,"[3, 4, 5]",36.44214675618778,4,1200
* eps Vir,HD113226,HD113226,13 02 10.5970,+10 57 32.935,G8III-IIIb,2.79,0.9200001,,5079,2.63,0.07,"[3, 4, 5]",35.18148421299735,4,300
HD 106038,HD106038,HD106038,12 12 01.3688,+13 15 40.618,F6wl,10.162,0.4680004,,6094,4.29,,"[2, 3, 4]",32.883820209955765,3,1800
HD  84937,HD84937,HD84937,09 48 56.0992,+13 44 39.326,F8Vm-5,8.32,0.3600006,,6226,4.1241,-2.047,"[1, 2, 3]",32.378391549164974,2,1800
* alf Tau,HD29139,HD29139,04 35 55.2390,+16 30 33.488,K5+III,0.86,1.5400001,,3936,1.0,-0.34,"[11, 12]",29.454450801392444,11,150
HD 201891,HD201891,HD201891,21 11 59.0321,+17 43 39.890,G5V_Fe-2.5,7.37,0.5100002,,5850,4.4,-0.96,"[8, 7]",28.18992143373355,8,1800
* eta Boo,HD121370,HD121370,13 54 41.0789,+18 23 51.794,G0IV,2.68,0.56999993,,5747,3.7112,-0.132,[],27.73262810890269,4,300
* alf Boo,HD124897,HD124897,14 15 39.6720,+19 10 56.673,K1.5IIIFe-0.5,-0.05,1.2299999,,4325,2.1,-0.6,[],26.941014388309487,4,100
* gam Sge,HD189319,HD189319,19 58 45.4282,+19 29 31.726,M0-III,3.47,1.5699999,,3890,1.0,-0.1,[],26.457958270916862,7,300
* mu. Leo,HD85503,HD85503,09 52 45.8170,+26 00 25.024,K2IIIbCN1Ca1,3.88,1.2199998,,4436,2.5,0.17,[],20.116941424823125,2,600
* bet Gem,HD62509,HD62509,07 45 18.9498,+28 01 34.316,K0IIIb,1.14,1.0000001,,4842,2.9,-0.07,[],18.043454015890397,1,150
HD 103095,HD103095,HD103095,11 52 58.7673,+37 43 07.254,K1V_Fe-1.5,6.45,0.75,,4970,5.0,-1.18,[],8.42585829531667,3,1200
*  61 Cyg B,HD201092,HD201092,21 06 55.2638,+38 44 31.358,K7V,6.03,1.3699999,,4177,4.7498,-0.268,[],7.177549239788126,8,1200
*  61 Cyg A,HD201091,HD201091,21 06 53.9395,+38 44 57.902,K5V,5.21,1.1799998,,4510,4.6,-0.24,[],7.1701652596235546,8,900
* mu. Cas,HD6582,HD6582,01 08 16.3029,+54 55 12.561,G5Vb,5.17,0.69000006,,5280,4.7,-0.71,[],-9.03257809078648,10,900
HD 175305,HD175305,HD175305,18 47 06.4416,+74 43 31.451,G5III,7.18,0.75,,5160,2.32,-1.85,[],-28.7346874921899,6,1800
* e Leo,HD99998,HIP 56127,11 30 18.8933,-03 00 12.598,K3+IIIFe-0.5,4.77,1.54,,4024,1.2235,-0.399,"[1, 2, 3, 4, 5]",49.14512634881364,3,900
* mu.02 Pav,HD188887,HIP 98624,20 01 52.4617,-66 56 38.271,K2IVCNII,5.331,1.2150002,,4450,,0.0,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",67.1057993064667,7,900
