name,hd,entered_name,ra,dec,type,vmag,bmv,extinction,teff,logg,feh,visibility,max_alt,exp_time
* bet Hyi,HD   2151,HD2151,00 25 45.0703,-77 15 15.286,G0V,2.7899999618530273,0.6200001239776611,nan,5797,3.9616000652313232,-0.0689999982714653,thoughout,"(<Latitude 56.86283033 deg>, 9)",300
* alf Cen B,HD 128621,HD128621,14 39 35.0631,-60 50 15.099,K1V,1.3300000429153442,0.8799999952316284,nan,5231,4.53000020980835,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12]","(<Latitude 73.04583914 deg>, 4)",150
* alf Cen A,HD 128620,HD128620,14 39 36.4940,-60 50 02.373,G2V,0.009999999776482582,0.7100000288337469,nan,5271,4.026100158691406,0.25200000405311584,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12]","(<Latitude 73.04942847 deg>, 4)",100
* bet Ara,HD 157244,HD157244,17 25 17.9878,-55 31 47.574,K0/1Ib,2.8499999046325684,1.4600000381469727,nan,4784,0.5,,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","(<Latitude 78.43291677 deg>, 6)",300
HD 298986,HD 298986,HD298986,10 17 14.8774,-52 29 18.694,F5,10.029999732971191,0.43000030517578125,nan,6177,4.28000020980835,,"[1, 2, 3, 4, 5, 6, 10, 11, 12]","(<Latitude 81.38116975 deg>, 2)",1800
* mu. Ara,HD 160691,HD160691,17 44 08.7031,-51 50 02.591,G3IV-V,5.150000095367432,0.6999998092651367,nan,0,,0.3499999940395355,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","(<Latitude 82.13534934 deg>, 6)",900
* psi Phe,HD  11695,HD11695,01 53 38.7393,-46 18 09.609,M4III,4.409999847412109,1.5900001525878906,nan,4186,1.0990999937057495,-1.1690000295639038,"[1, 2, 6, 7, 8, 9, 10, 11, 12]","(<Latitude 87.78523537 deg>, 10)",600
HD 102200,HD 102200,HD102200,11 45 34.2345,-46 03 46.386,F2V,8.760000228881836,0.36999988555908203,nan,6185,4.440000057220459,-1.100000023841858,"[1, 2, 3, 4, 5, 6, 7, 11, 12]","(<Latitude 87.78225008 deg>, 3)",1800
* ksi Hya,HD 100407,HD100407,11 33 00.1149,-31 51 27.447,G7IIIb,3.5399999618530273,0.929999828338623,nan,5095,2.9000000953674316,0.11500000208616257,"[1, 2, 3, 4, 5, 6, 12]","(<Latitude 78.000411 deg>, 3)",600
* eps For,HD  18907,HD18907,03 01 37.6288,-28 05 29.373,G9:V,5.849999904632568,0.8299999237060547,nan,5030,3.5251998901367188,-0.640999972820282,"[1, 8, 9, 10, 11, 12]","(<Latitude 74.00788531 deg>, 11)",1200
* tau Cet,HD  10700,HD10700,01 44 04.0831,-15 56 14.927,G8V,3.5,0.7199997901916504,nan,5328,4.380000114440918,-0.4699999988079071,"[7, 8, 9, 10, 11, 12]","(<Latitude 61.83082012 deg>, 10)",600
HD 140283,HD 140283,HD140283,15 43 03.0971,-10 56 00.595,F9VkA5mA1,7.211999893188477,0.49900007247924805,nan,5847,3.319999933242798,-2.619999885559082,"[2, 3, 4, 5, 6, 7]","(<Latitude 57.02161063 deg>, 5)",1800
* del Eri,HD  23249,HD23249,03 43 14.9005,-09 45 48.210,K0+IV,3.5399999618530273,0.9200000762939453,nan,5108,4.179999828338623,0.25,"[1, 8, 9, 10, 11, 12]","(<Latitude 55.70017613 deg>, 11)",600
* eps Eri,HD  22049,HD22049,03 32 55.8444,-09 27 29.739,K2V,3.7300000190734863,0.880000114440918,nan,5120,4.699999809265137,0.009999999776482582,"[1, 8, 9, 10, 11, 12]","(<Latitude 55.38913423 deg>, 11)",600
*  18 Sco,HD 146233,HD146233,16 15 37.2702,-08 22 09.982,G2Va,5.5,0.6500000953674316,nan,5770,4.300000190734863,0.07000000029802322,"[3, 4, 5, 6, 7]","(<Latitude 54.4432066 deg>, 5)",1200
HD  22879,HD  22879,HD22879,03 40 22.0652,-03 13 01.124,G0VmF2,6.666999816894531,0.5550003051757812,nan,5750,4.5,-0.7699999809265137,"[1, 9, 10, 11, 12]","(<Latitude 49.15073917 deg>, 11)",1800
HD  49933,HD  49933,HD49933,06 50 49.8309,-00 32 27.167,F3V,5.770999908447266,0.37599992752075195,nan,6477,4.154099941253662,-0.44600000977516174,"[1, 2, 3, 10, 11, 12]","(<Latitude 46.58300411 deg>, 12)",1200
* bet Vir,HD 102870,HD102870,11 50 41.7185,+01 45 53.001,F9V,3.5999999046325684,0.5500001907348633,nan,6109,4.199999809265137,0.17000000178813934,"[1, 2, 3, 4, 5]","(<Latitude 44.37899153 deg>, 3)",600
* c Vir,HD 107328,HD107328,12 20 20.9813,+03 18 45.255,K0.5IIIbFe-0.5,4.960000038146973,1.1599998474121094,nan,4508,2.299999952316284,-0.47999998927116394,"[1, 2, 3, 4, 5]","(<Latitude 42.83207295 deg>, 3)",900
* alf Cet,HD  18884,HD18884,03 02 16.7730,+04 05 23.059,M1.5IIIa,2.5299999713897705,1.6400001049041748,nan,3828,1.0,,"[9, 10, 11, 12]","(<Latitude 41.82934849 deg>, 11)",300
* alf CMi,HD  61421,HD61421,07 39 18.1195,+05 13 29.955,F5IV-V+DQZ,0.3700000047683716,0.42000001668930054,nan,6468,3.9719998836517334,0.010999999940395355,"[1, 2, 3, 11, 12]","(<Latitude 40.84240088 deg>, 1)",100
*   7 Psc,HD 220009,HD220009,23 20 20.5830,+05 22 52.708,K1IV,5.068999767303467,1.193000316619873,nan,4351,1.7345999479293823,-0.7049999833106995,"[7, 8, 9, 10]","(<Latitude 40.50089504 deg>, 9)",900
HD 122563,HD 122563,HD122563,14 02 31.8455,+09 41 09.944,G8:III:Fe-5,6.190000057220459,0.9099998474121094,nan,4952,1.2799999713897705,-2.690000057220459,"[2, 3, 4, 5, 6]","(<Latitude 36.44214665 deg>, 4)",1200
* eps Vir,HD 113226,HD113226,13 02 10.5970,+10 57 32.935,G8III-IIIb,2.7899999618530273,0.9200000762939453,nan,4966,2.799999952316284,0.15000000596046448,"[2, 3, 4, 5]","(<Latitude 35.1814841 deg>, 4)",300
HD 106038,HD 106038,HD106038,12 12 01.3688,+13 15 40.618,F6wl,10.161999702453613,0.4680004119873047,nan,6094,4.289999961853027,,"[2, 3, 4, 5]","(<Latitude 32.88382005 deg>, 3)",1800
HD  84937,HD  84937,HD84937,09 48 56.0992,+13 44 39.326,F8Vm-5,8.319999694824219,0.3600006103515625,nan,6226,4.124100208282471,-2.046999931335449,"[1, 2, 3, 12]","(<Latitude 32.37839135 deg>, 2)",1800
* alf Tau,HD  29139,HD29139,04 35 55.2390,+16 30 33.488,K5+III,0.8600000143051147,1.540000081062317,nan,3936,1.0,-0.3400000035762787,"[1, 10, 11, 12]","(<Latitude 29.45445236 deg>, 11)",150
HD 201891,HD 201891,HD201891,21 11 59.0321,+17 43 39.890,G5V_Fe-2.5,7.369999885559082,0.5100002288818359,nan,5850,4.400000095367432,-0.9599999785423279,"[6, 7, 8, 9]","(<Latitude 28.18992109 deg>, 8)",1800
* eta Boo,HD 121370,HD121370,13 54 41.0789,+18 23 51.794,G0IV,2.680000066757202,0.5699999332427979,nan,5747,3.711199998855591,-0.13199999928474426,"[3, 4, 5]","(<Latitude 27.73262795 deg>, 4)",300
* alf Boo,HD 124897,HD124897,14 15 39.6720,+19 10 56.673,K1.5IIIFe-0.5,-0.05000000074505806,1.2299999482929707,nan,4325,2.0999999046325684,-0.6000000238418579,"[3, 4, 5]","(<Latitude 26.94101439 deg>, 4)",100
* gam Sge,HD 189319,HD189319,19 58 45.4282,+19 29 31.726,M0-III,3.4700000286102295,1.5699999332427979,nan,3890,1.0,-0.10000000149011612,"[6, 7, 8]","(<Latitude 26.45795825 deg>, 7)",300
* mu. Leo,HD  85503,HD85503,09 52 45.8170,+26 00 25.024,K2IIIbCN1Ca1,3.880000114440918,1.2199997901916504,nan,4436,2.5,0.17000000178813934,[2],"(<Latitude 20.11694135 deg>, 2)",600
* bet Gem,HD  62509,HD62509,07 45 18.9498,+28 01 34.316,K0IIIb,1.1399999856948853,1.0000001192092896,nan,4842,2.9000000953674316,-0.07000000029802322,[],"(<Latitude 18.04345401 deg>, 1)",150
